period,event_type,mention_count,descriptions
童年,偷钱受罚,1,小时候因偷钱被母亲精准抓包并打骂认错
童年,父亲速应,1,母亲喊父亲名字后，父亲总能在 20 秒内出现协助管教
童年,嘴甜夸人,1,小时候通过见人就夸、高情商回应亲戚逗趣而被评价为懂事
童年,表面顺从实则叛逆,1,从小想干嘛就干嘛，对父母禁令偷偷违反且屡教不改
童年,情感表达,1,通过口头表达爱戴母亲和夸赞他人来维持懂事的形象
童年,饭桌机智回应,1,在父亲教育时巧妙用“有爸妈是天上掉馅饼”化解说教并逗乐父亲
童年,听闻经济寒冬论,1,小时候天天听周围人说经济寒冬要来了或全球经济遇冷
童年,怼司机事件,1,小时候在车上逮着父亲的司机一路怼
童年,模特圈成长环境,1,母亲是模特且其朋友热衷搞娃娃亲，导致作者误以为注定只能娶模特
童年,模特班同学关系,1,母亲朋友的女儿与作者在同一个模特班学习
童年,阅读困惑,1,小时候看小说时无法理解“嫁出去就不能随便回娘家”的说法
童年,观察现象,1,发现学校里的同学几乎每周都会去外婆家
童年,家庭管教,1,母亲从小禁止作者骂脏话
童年,成长环境,1,作者住在老闸北旁边的静安区，接触小流氓腔调
童年,身高自卑期,1,因身高一米九被嘲笑像大猩猩或奥特曼，羡慕清秀白净的男生
童年,被迫精致打扮,1,母亲作为专业模特强迫作者进行繁琐的穿衣、试衣、做头发及护肤流程
童年,男性化妆护肤,1,10 岁时被母亲教导化妆、保养皮肤及每日早起半小时打理仪容
童年,被父亲带看特摄与动画,1,三岁起由父亲抱着观看假面骑士和飞跃巅峰
童年,目睹父亲深夜看番,1,半夜发现父亲在书房含泪观看高达默示录 0079 最后一话
童年,思想灌输,1,从小被灌输正视性欲但不轻易释放能让人变强的奇怪思想
童年,科幻认知偏差,1,受电影和漫画影响误以为液压、马达及活体组织即可制作机械改造人
童年,实验条件缺失,1,庆幸当时缺乏进行人体改造实验的实际条件
童年,观看高达光碟,1,5 岁时父亲在家抱着自己观看 0083 剧场版光碟
童年,观看 EVA 被吓哭,1,2 岁时观看 EVA 旧剧场版被吓哭（据父亲回忆）
童年,首次暴力冲突,1,第一次打架直接攻击对方头部致其受伤，由父亲赔偿
童年,转移攻击对象,1,因人类头部太软，转而与狗打架
童年,容貌焦虑,1,小时候因长相与性别不符而讨厌自己的脸
童年,缺乏后果意识,1,从未考虑过激行为可能导致对方精神崩溃或暴力反击
童年,老楼居住体验,1,在外滩和淮海路的老楼房里活动
童年,成长背景,1,从小不缺爱，但患有严重的渴肤症和口欲症
童年,职场受挫被包容,1,前老板在我搞砸事情或闹情绪时，总能用“没关系”安抚并帮我摆平。
童年,模仿影视角色,1,"因崇拜高服从性角色而常对父亲说""sir, yes sir"""
童年,社会观念认知,1,认为当时吹嘘男性比女性强是一种懦弱的表现
童年,压岁钱被骗,1,五岁时被父亲用斗地主骗走一年的压岁钱
童年,年龄对比状态,1,曾经比 coser 姐姐小三岁，现在比现任 CP 大近十岁
童年,心理阴影,1,小时候对胖虎这个角色产生了心理阴影
童年,收藏童年未购模型,1,阁楼里存放着作者童年想买但买不起的各式老版机器人模型
小学,童年对等恋爱,1,在小学阶段与异性进行无性别压迫、纯粹且激烈的恋爱互动
小学,童年情感互动,1,作者小学时坐在对方腿上摇晃却未产生反应
小学,社交隔离,1,因不被男生接纳而被迫融入女生群体
小学,获赠高达模型,1,姐姐送给作者一盒 HG 佐罗亚特模型
初中,拒绝挑染,1,母亲曾提议给作者挑染头发，被作者强烈拒绝
初中,结识发小,1,作者与发小在初中时期相识
初中,被女生评价外貌,1,被班里女生评价像樱木花道，表示不是她们喜欢的类型
初中,因身高自卑,1,因身高问题长期自卑，羡慕身高较矮的男生
初中,质疑体育生受欢迎度,1,因时代审美偏好病弱美少年，一度不相信体育生会受女生欢迎
初中,代管零花钱,1,替十五岁的大小姐保管并代付现金消费
初中,陪伴朋友首次出 Cos,1,作者陪同 14 岁的朋友第一次以 Saber 角色参加漫展
初中,青春期恋爱转变,1,进入初中后意识到恋爱中需保留自我安危，不再无条件付出
初中,异性社交困扰,1,作者成年前几乎一直被初中女生纠缠
初中,自我认知偏差,1,作者误以为自己是不治的萝莉控并向学妹忏悔
初中,停止肢体冲突,1,身高长到 188 后因无敌手而不再打架
初中,损友交往,1,与一位嘴臭女生在周五放学后相约压马路、聊天打闹
初中,外滩互动,1,在外滩栏杆上背靠聊天，被对方调侃是二次元处男
初中,初吻经历,1,在对方挑衅下于外滩栏杆上完成笨拙的初吻并互相调情
初中,背负同行,1,接吻后对方以腿软为由要求背其回家
初中,街头斗殴,1,时常参与街头打架
初中,被动气场觉醒,1,摆脱童贞后习得让他人望而却步的被动技能
初中,迪士尼旅行邀约,1,作者因嫌贵拒绝初中毕业旅行，后得知对方用父亲信用卡支付且需陪同才同意前往
初中,蹭住万豪酒店,1,作者本欲回家，被对方强行安排入住万豪酒店并享用大餐
初中,迪士尼游玩经历,1,作者试图规划路线却因对方购买导览服务而沦为拎包助手，见识了隐藏通道与 VIP 特权
初中,购物与报销,1,作者目睹对方在迪士尼大量购物，最终对方父亲报销近六万元并额外给作者 2000 元补贴
初中,早恋受罚,1,前女友因早恋被父亲毒打致伤，却拒绝出卖我
初中,身高虚报,1,裸高 190 厘米却对外谎称 187 厘米以免吓到他人
初中,初恋交往,1,作者曾与一位身材极瘦小的学妹交往
初中,外貌自卑期,1,因身材高大且肤色黑而自认是傻大个
初中,身高过高引发社交压力,1,初三身高已达 188cm，导致女生因感到压迫感而不敢与其正常交流
初中,两次短暂且失败的恋情,1,初中时经历两段当天开始次日或一次约会后便因身高问题被女生主动分手的恋情
初中,对外貌的自卑与幻想,1,初中时期因皮肤黑且高大，内心渴望自己变成一米七的斯文白净男生
高中,恋爱互动,2,前女友喜欢听作者用带粗口的上海话讲地狱笑话 / 暑假和周末与女友频繁约会及互动
高中,恋爱经历,2,作者曾有一位体育生身份的前女友 / 作者曾有一位皮肤较黑的前女友
高中,饭量惊人打赌,1,作者高中时午饭能吃一斤面，常以此作为打赌的资本。
高中,拼凑三人份午餐,1,作者午餐通常吃掉自己、同桌和学习委员三人份的饭菜。
高中,无肉不欢狂饮牛奶,1,作者高中时不挑食，大量吃肉并将牛奶当水喝。
高中,重油早餐充饥,1,作者为支撑训练，早上五点吃重油蛋炒饭加猪排。
高中,运动性暴食,1,作者一旦开始运动就会不停地吃东西。
高中,"绰号""ZZ 高达”",1,"因食量巨大，作者被田径队队友戏称为""ZZ 高达”。"
高中,偷吃女友双份零食,1,作者常偷吃集训女友的零食，迫使对方携带双份。
高中,身高最高但非壮硕,1,作者虽是全校最高，但体型远不如班级里 200 斤的壮汉。
高中,初恋交往,1,与第一位“变态淑女”短暂交往并共同进行翻墙、偷进教室等疯狂行为后分手
高中,穿着校服经历,1,作者高中校服包含白衬衫，搭配黑色百褶裙时呈现出真实的小女人味与青春感。
高中,校园情感体验,1,作者认为高中时期谈恋爱是一件特别美好的事。
高中,经济窘迫,1,作者作为高中生因贫穷而感到自卑或面临经济差距带来的压力
高中,女友家浴室意外,1,高中暑假在女友家洗澡时因误入监控范围引发恐慌，最终格式化监控并隐瞒父母。
高中,关注点的转移,1,开始从单纯迷恋肉体转向关心人类灵魂是否有趣
高中,角色扮演,1,朋友喜欢作者用特定声线叫她“小碧池”和“小妓女”
高中,行为表演,1,作者模仿礼貌拒绝推销者以让朋友感到安心
高中,亲密试探,1,作者在私密环境下掐脖子、甩耳光等，但刻意控制力度
高中,共同活动,1,作者陪前女友一起完成作业而非撕毁
高中,虚构经历,1,作者编造学生时代逃课打架的故事哄前女友开心
高中,技能学习,1,作者为哄前女友特意补看《黑金丑岛君》 / 作者对着镜子练习叼烟的姿势
高中,行为控制,1,作者花很长时间练习甩耳光后不马上道歉
高中,结识前女友,1,刚认识时觉得对方打球莽撞且外表性感
高中,发现反差,1,深入了解后得知对方理科成绩优异
高中,补习互动,1,对方戴着眼镜帮自己补物理时感到兴奋
高中,共同观影,1,陪对方看完《异形》系列及《战争与和平》
高中,文化陪伴,1,陪对方看艺术展逛博物馆并听其讲笑话
高中,变声期发现天赋,1,变声期后发现自己能靠挤声带完美模仿女生声音
高中,运动特长生发型自由,1,作为运动特长生发型不受老师严格管控，可留长发扎辫
高中,尝试短发造型,1,曾剪极短板寸头但因被评价显凶且肤色黑而放弃
高中,初次被告白,1,高中时首次收到告白，因对方误以为自己是老师而惊慌失措
高中,田径队恋情,1,与同队黑皮体育生女友交往，因体型差和肤色差异感到羞耻
高中,情感状态,1,因这段感情经历而不再主动追求其他女生
高中,恋爱优势觉醒,1,高中谈恋爱时才发现母亲早年强加的审美和习惯成为自己吸引异性的关键
高中,不良少年日常,1,作者留挑染发型、抽电子烟并担任纪律委员“老大”收受贿赂
高中,偶遇与试探,1,作者在虹口体育场被学习委员撞见与 Coser 姐姐在一起并抽烟
高中,私下教学,1,作者放学后带学习委员去公园教她使用电子烟并陪她聊天
高中,关系升温,1,作者与学习委员频繁私下抽烟、聊家庭压力并互相吐槽
高中,情感误会,1,作者被学习委员质问与 Coser 姐姐的关系，但对方元旦后仍主动联系
高中,亲密互动,1,作者与学习委员在凉亭发生肢体接触并确立长期“打屁股”的亲密关系
高中,被班主任误解早恋,1,因放学与学习委员同行被班主任暴怒批评，被迫发誓澄清关系
高中,与学习委员秘密恋爱,1,在班主任不知情下于小花园接吻，并拿老师的愤怒作为调情笑料
高中,教练引导,1,田径教练在禁止男女串门的同时安排强肉体对抗游戏以转化性欲
高中,生理状态,1,因长期禁欲导致性欲暴涨，产生极度自信甚至想征服全队的想法
高中,消费行为,1,将大部分零花钱用于购买避孕套及各类 Cosplay 服装和丝袜以满足女友
高中,创作状态,1,因缺乏性交流导致文笔变得狂野下流，热衷于创作恋爱与色情小说
高中,高强度亲密行为,1,暑假期间与女友因体力充沛而频繁发生性关系
高中,身体异常疼痛,1,事后发现生殖器持续疼痛且随勃起加剧，持续数日
高中,异物缠绕事故,1,发现头发缠绕系带导致割伤，自行剪断取出
高中,后辈背景,1,作者提到有一位在高中时期就读于援交模特班的后辈
高中,圣诞节夜不归宿事件,1,与 coser 姐姐在校外酒店过夜并发生亲密行为
高中,返校受罚与情感破裂,1,因逃课被教导主任训斥，导致与学习委员决裂、被女友分手
高中,校园人设崩塌与重构,1,因“纯血种马”传闻导致男女同学态度两极分化，意外进入学生会
高中,发型改变与亲密互动,1,前女友剪短发后两人经常勾肩搭背
高中,校外告白事件,1,被穿男装的 coser 姐姐在校内告白
高中,跨年龄同好交往,1,与小学生男生共同观看动画并购买模型
高中,情感阴影持续,1,因该事件导致整个高中时期的恋爱经历变得艰难
高中,获赠首件藏品,1,高中毕业时收到学妹赠送的制服外套
高中,校园暴力行为,1,作者在校外频繁打架并表现出小混混形象
高中,力量展示,1,作者常在女性朋友面前单手抱起或扛起她们
高中,暴力干预,1,作者曾将性骚扰女生的男老师打跑
高中,言语恐吓,1,作者常对女生说“揍你”但对方并不当真
高中,玩笑互动,1,作者曾提议打女友作为不回家的借口被拒绝
高中,亲密打闹,1,前女友常踢作者挑衅，作者将其按在墙上挠痒嬉戏
高中,见证学妹护友,1,目睹学妹为保护作者朋友而霸气警告他人
高中,招老师讨厌,1,因青春恋爱行为导致被老师反感
高中,纯真恋爱,1,与女友无目的相处，包括游泳、看电影、捉螃蟹等快乐时光
高中,田径队训练经历,1,因队内缺乏颜值与实力兼备的跨栏选手而选择练习 400 米
高中,街头斗殴,1,时常参与街头打架
高中,兼职护送服务,1,为一名被跟踪狂盯上的高中住校生提供为期一学期的接送服务
高中,同学恋爱受阻,1,学习委员因恋爱被母亲没收手机、接送、禁足并体罚，险些离家出走
高中,秘密约会,1,作者与女友每天仅有十分钟时间见面亲昵，成为对方坚持的动力
高中,跑步竞赛经历,1,在几万高中生中跑出区级第二名的成绩
高中,交通工具争议,1,与学习委员交往时因在交通工具上亲昵被吐槽
高中,意外致伤事件,1,在追逐打闹中不小心掰折了女同学的手腕
高中,漫展忘带装备被包容,1,第一次 cos 搭子在我丢三落四时，无奈叹气后主动帮忙寻找补救。
高中,温泉泳池挑战,1,作者接受田径队女生及其闺蜜的温泉泳池追逐惩罚挑战
高中,泳池戏弄,1,作者在深水区潜水并钩扯对方泳裤带子导致对方动作变形
高中,惩罚实施,1,作者将两名女生的屁股打得红通通透
高中,技能揭秘,1,作者向女生透露自己当年是区游泳冠军的经历
高中,恋爱初期盲目消费,1,刚交往时因相信恋爱需花钱而挥霍有限零花钱
高中,经济危机坦白,1,两个月后零花钱耗尽，心虚告知女友无法外出
高中,被女友反向供养,1,女友主动承担开销，让作者过上花她零花钱的生活
高中,空手约会常态,1,发现女生更看重人而非钱，常口袋空空与女友出游
高中,低成本甜蜜相处,1,与女友在免费公园分享爱心便当并共度午后时光
高中,洞察情感规律,1,发现部分女性通过借钱行为判断亲密关系深度的规律
高中,人生规划,1,作者曾计划要和全世界的女孩子做朋友
高中,情感亏欠,1,得知前女友曾为保护我而承受暴力，深感亏欠
高中,模特面试,1,因身高优势在模特班面试中未开口即被录取
高中,恋爱中的恶趣味,1,与高中学习委员女友在床上接听并嘲笑隔壁班追求者的电话
高中,认知转变期,1,意识到高个子长腿是天赋加分项
高中,初恋搭档经历,1,与当时介意肤色的黑皮女友作为最早的 cos 搭档
高中,学姐搭档经历,1,与大两岁喜欢 FGO 和舰 C 的 coser 姐姐搭档
高中,学妹搭档经历,1,陪喜欢出骑士王的学妹搭档，自己成了红 A 专业户
高中,后辈搭档经历,1,与除援交外只爱漫展的后辈搭档，为其取名航母圈名
高中,兼职模特,1,靠身高当走台模特赚零花钱
高中,加入社团,1,因身高被招进田径队并结识前女友
高中,情感经历,1,被认识的 coser 姐姐告白
高中,职务与恋爱,1,因身高当纪律委员并与学妹恋爱半年
高中,担任干部,1,高三时因身高当选学生会长
大学,朋友解物理题,1,朋友在作者未毕业时能独立快速解出物理数学题
大学,兼职模特,1,19 岁时作为上海大学生去浙江老板公司当平面模特
大学,酒友相伴,1,与老板因能喝酒成为酒友，无课时常在其办公室待着
大学,贴身助理,1,日常帮老板拎包，并在其醉酒后负责背其回家
大学,高额补贴,1,老板在送其回家或让其跑腿时，额外给予现金补贴
大学,消费全包,1,与老板在一起吃饭及购买衣物鞋子时不用自己花钱
大学,分手赠金,1,老板结婚前一次性给予 3 万元并删除所有往来记录
大学,旷课陪酒,1,常以不去上课为由陪老板喝酒，单次消费约 3000 元
大学,醉酒狂欢,1,两人喝醉后在南京路牵手唱歌，老板撒娇求抱
大学,狂野长发造型,1,大学时期留长发配合高个与黑皮肤，形成极具攻击力的造型
大学,被野狗攻击,1,曾被大学里的野狗用头撞击导致进入嗜血状态
大学,模特兼职经历,1,作者在学生时期一边读书一边兼职做模特
大学,格斗陪练,1,与二十多位热爱格斗的少女进行实战对阵
大学,千里赴约,1,作者为了见一位高中 cos 社团的姑娘，专门从外地前往云南大学赴约
大学,校园聚会,1,作者与姑娘在云南大学校园内吃小吃、唱卡拉 OK、看电影及吃火锅
大学,深夜逃离,1,作者因担心云南饮食导致肠胃不适，在姑娘提出进一步邀约后独自逃回酒店
大学,社团生存危机,1,在经费匮乏且成员仅剩三女一男时，为维系社团凝聚力而共同省吃俭用、吃住在一起。
大学,平等情感实验,1,在社团内部约定并实践同时平等地爱着三位女性成员，维持了半年的特殊关系。
大学,关系终止反思,1,因担心这种特殊关系会吓跑新社员，最终主动结束了这段持续半年的“后宫”体验。
大学,兼职服务,1,靠身高给富婆当拎包小弟
大学,情感经历,1,与实习美术老师交往一年
工作后,担任老板助理,2,作者目前担任老板助理，非老板本人 / 被前老板雇佣作为随行人员协助其谈生意
工作后,管理厂内边牧,1,每天上下班需拴狗，验厂时将其关笼，遛狗时遇儿童需提前控制
工作后,管理厂内猫群,1,将性格恶劣的狸花猫关入房间以确保安全
工作后,朋友搭建产线,1,朋友灰头土脸蹲在机器旁一点点搭建起整条生产线
工作后,朋友拒绝社交,1,朋友因懒得解释工作细节且觉得社交累而拒绝摄影好友和他人交流
工作后,朋友日常爱好,1,朋友日常兴趣是分享搞怪视频和出 cos
工作后,领取低薪,1,作者目前每月工资为 2000 元
工作后,使用 AI 辅助设计,1,利用 AI 生成图片提升设计效率并减少沟通成本
工作后,隐瞒 AI 使用情况,1,因客户对 AI 态度严苛而不得不遮遮掩掩地使用 AI 进行商业企划
工作后,计划创业跳槽,1,期待 AI 技术成熟后脱离当前黑心老板自行开公司
工作后,模特从业经历,1,作者曾从事模特工作并因此结识大量 showgirl 和夜场从业者
工作后,行业观察经历,1,作者长期接触该圈子，观察到从业者平均活跃期仅一年且多为短期行为
工作后,职场互动,1,在老板公司拍广告时模仿不良少年风格与其建立特殊关系
工作后,语言表演,1,用上海话混合日语及黑道式发音讲地狱笑话取悦老板
工作后,见证辍学,1,作者目睹发小不顾劝阻在大学辍学去追求梦想
工作后,参观秘密基地,1,作者参观发小花费巨资打造的“童年博物馆”工作室
工作后,目睹辞职经历,1,作者听闻发小因上班太累而辞职并从此不再上班的经历
工作后,对比生活状态,1,作者与发小在群里视频时，对比自己加班的疲惫与发小在机场喝酒的洒脱
工作后,经历被禁言,1,作者所在的群聊因发小闲聊而将其禁言
工作后,反思人生选择,1,作者羡慕发小但认为活在自己世界里对普通人来说并不好
工作后,职场生存,1,因性格拎得清且无贪念，被老板信任并默许小额“贪污”
工作后,担忧德牧外逃,1,因工厂德牧未被驯化且过于热情，担心其跑出后被路人打死
工作后,修建封闭院舍,1,为德牧提供大院子并安装三道禁闭栏和自动门以防其外逃
工作后,长期租赁场地,1,老板为让德牧安全度过一生，一次性缴纳了十二年场地租金
工作后,陪老板港澳购物,1,每天负责为老板拎包并陪同前往香港澳门购物一周
工作后,陪老板游玩娱乐,1,陪老板去海洋公园和迪士尼游玩，由老板买单
工作后,照顾醉酒老板,1,每晚负责将喝醉的老板抱回酒店并清理后安置
工作后,陪 CP 外地参展,1,为 CP 携带物品、看管化妆包及假毛，偶尔共同营业
工作后,与 CP 庆祝分账,1,参展结束后与 CP 在浴缸开庆祝酒会并瓜分出场费
工作后,跟随老板创业,1,作者跟随一位 30 岁的老板在百人规模公司工作
工作后,听老板讲述往事,1,作者听老板醉酒讲述其 20 多岁挥霍与负债的经历
工作后,背醉酒的老板回家,1,作者将喝醉的老板背回家并与其对话
工作后,被收留做男执事,1,穷困潦倒时受女性收留并全职承担其家务与贴身照料
工作后,精细化衣物护理,1,每日分类清洗、手搓、熨烫及整理前老板的衣物与配饰
工作后,高频次清洁维护,1,每日拖地、清理浴室头发及呕吐物，每三天擦厕所并处理垃圾
工作后,定时采购与送餐,1,下午三点买菜并在六点前将晚餐送至前老板公司或学校
工作后,晨间应急准备,1,趁前老板化妆时快速收拾桌面并打包垃圾
工作后,深夜醉酒照料,1,半夜扛回醉酒的前老板并连夜清理呕吐物、更换床品及准备次日早餐
工作后,上学全套筹备,1,为前老板准备隐形眼镜、校服、行李箱及充电设备等上学必需品
工作后,独居生活状态,1,独自生活时认为上述繁琐家务完全没必要
工作后,富婆姐姐事件,1,被一位已婚富婆姐姐调侃体力好，甚至被要求背回家
工作后,担任全能助理,1,曾给老板当过兼任司机、厨师、秘书的助理
工作后,被转派给老板女儿,1,后来被老板打发去给老板的女儿当助理
工作后,漫展重逢旧友,1,作者在漫展偶遇多年未见的朋友，发现其外貌多年未变
工作后,持续状态,1,至今仍很少感到彻底满足，人生如同处于缺氧的勉强呼吸状态
工作后,千里护送任务,1,受老板委托独自带其 14 岁女儿从上海前往重庆汇合
工作后,酒店误会风波,1,在重庆酒店因带未成年女孩被前台误认为变态
工作后,高铁站盘问惊魂,1,因无法向警察清晰解释与女孩关系而被单独带至小房间盘问
工作后,习惯性检查行为,1,此后每次性行为后都会检查是否再次发生缠绕
工作后,工厂打工,1,作者在浙江农村小工厂打工，月薪 2000 元且包吃包住
工作后,日常通勤,1,作者每天驾驶三轮车收计件、丢垃圾，骑电动车买菜
工作后,居住体验,1,作者居住在老板提供的两栋新装修农村自建房宿舍中
工作后,风景治愈,1,作者喜欢在黄昏时开车经过大桥欣赏夕阳，感到身心治愈
工作后,见证前老板趣事,1,目睹前老板穿上蓝白校服捂脸的场景
工作后,创业资金断裂,1,向父亲借款创业失败导致生活费断供，陷入极度缺钱状态
工作后,穷困出差,1,为省钱出差只能坐绿皮火车，靠帮朋友跑腿赚取微薄糊口钱
工作后,绿皮车同行,1,与商会大小姐约定同坐硬座，在车上分享零食纸牌并一路聊天
工作后,深夜徒步寻食,1,因手机没电且无充电宝，凌晨下车后步行三公里寻找早餐摊
工作后,机场误机滞留,1,因睡过头错过红眼航班，被迫在机场过夜并寻找夜宵
工作后,廉价饮食体验,1,连续半个月在出差途中食用街边小吃、机场杯面及沙县小吃
工作后,债务坦白与转机,1,向同伴坦白欠款数额后，对方提出陪同去银行解决并改善饮食
工作后,家庭观念冲突,1,因父亲炫耀在地铁掌掴女生而与其发生争执
工作后,职场竞争现状,1,作者成年后发现自己无法在竞争中胜过擅长应试的“做题家”
工作后,担任接送司机,1,在浙江为土豪老板开车接送客户
工作后,受命接送老板女儿,1,被老板要求穿西装开豪车接送其女儿上下学
工作后,满足女孩各种要求,1,应女孩要求提供红茶、长柄伞、平光眼镜及白手套等服务
工作后,遭遇早恋误会,1,因在校门口等滴滴被误认为早恋，被禁止进入女生宿舍
工作后,处理离家出走事件,1,将女孩高二时计划离家出走的行踪告知其父亲
工作后,失业,1,因女孩与父亲决裂而失去司机工作
工作后,沉迷游戏,1,暑假沉迷《怪物猎人》并鸽掉所有女性朋友
工作后,朋友上门,1,被 coser 姐姐堵在家门口并共处数日
工作后,认知转变,1,在朋友鼓励下开始以异性视角与女生交往
工作后,社交成功,1,尝试新方式后成功在漫展和聚会中结识女生
工作后,社团插曲,1,为社团比赛临时招募女生导致学妹吃醋
工作后,职业接送员经历,1,作者曾担任专职司机在学校门口接送孩子
工作后,回赠高达模型,1,作者过年送给姐姐的儿子一盒 MG 法兹模型
工作后,遵守公司设备禁忌,1,在禁止骂设备或讨论售卖设备的规定下工作，因设备似乎会因被骂或议论而损坏
工作后,日本漫展同行,1,作者以社畜装扮陪同穿 JK 制服的朋友参加日本漫展
工作后,遭遇警察盘问,1,作者与朋友因朋友夸张的 JK 伪装行为被日本警察盘问
工作后,伴侣关系,1,作者当前的伴侣是专门拍摄黑皮角色的创作者
工作后,工厂打工经历,1,作者自称是“厂狗”，表示身边很多人的工作都不比外卖员轻松
工作后,亲密关系互动,1,交往对象因知晓作者不暴力而主动挑衅并要求进行肢体压制或扇耳光
工作后,情绪模式传承,1,因曾被他人温柔对待，如今面对同伴的突发失误也能保持高容忍度并主动安抚。
工作后,享受宽松考勤,1,作者所在团队允许迟到半小时，因老板只关注工作量完成
工作后,知晓未公开规则,1,作者知晓老板设定的迟到冗余规则，但该规则未向其他人公开
工作后,求职面试,1,以机械设定师身份面试并成功获得录用
工作后,运营小号音频账号,1,作者目前仍有人在社交平台小号上请求其发布新的音频内容
工作后,职场冲突,1,经常把前老板弄哭
工作后,职业转型,1,身边不再有老板，只接触大小姐和单主
工作后,角色扮演,1,只要给够钱就能在 24 小时内扮演高服从性精英干员
工作后,行业离职,1,离开模特行业后开始关注女性腿部并提升审美
工作后,为前前老板做饭,1,作者曾亲自为前前老板准备餐食
工作后,为前老板带小孩,1,作者曾亲自照顾前老板的孩子
工作后,为伴侣做家务,1,作者为现任伴侣洗碗打扫卫生
工作后,夜场陪聊经历,1,作者曾作为拎包小弟在夜场与女性从业者同坐，听她们抱怨家庭控制问题
工作后,担任大小姐司机,1,作者曾为大小姐开车，并在雨天为其撑直柄伞
工作后,被伴侣供养,1,与一位优秀女性交往，对方在两年间承担了我的生活开销
工作后,自我认知偏差,1,误以为被雇佣是因为身体好或学习能力强
工作后,能力真相揭露,1,得知被雇佣的真实原因是外形讨喜且擅长吹牛
工作后,漫展社交现象,1,每次参加漫展都能遇到聊得来的陌生女生，但作者自认并非靠颜值或金钱吸引对方
工作后,陪同老板,1,陪前老板出席正式宴请时接触高端白酒
工作后,漫展相识,1,作者与伴侣在漫展上认识
工作后,漫展日常,1,每周陪伴侣去各地漫展，负责拍照、运营账号及陪同出 cos
工作后,共同追番,1,一起追新番并讨论适合出 cos 的新角色
工作后,角色安利,1,趁伴侣对高达感兴趣，一直怂恿其出秘书小姐角色
工作后,异地多线周旋,1,全国飞隔天见新欢并陪五六天，对前任延迟回复
工作后,父亲持续参与模型活动,1,父亲每月与老友聚会、参加模型大赛并偶尔获得奖杯
工作后,福利姬搭档经历,1,与卖视频的福利姬搭档，担任男演员和摄影
工作后,双子搭档经历,1,与第五和第六个搭档打包合作，拍摄双子角色组合
工作后,社团后宫经历,1,与社团内多位成员组队出 cos，组成各种小队和兔女郎组合
工作后,原神搭档经历,1,与双马尾地雷妹搭档，从莫娜出到芙宁娜
工作后,网红搭档经历,1,与后来成为三十万粉丝网红的搭档短暂合作
工作后,疯批搭档经历,1,与酷爱 NTR 文学的前搭档合作，对方气质飒爽
工作后,大小姐搭档经历,1,与自家大小姐短暂搭档，无论对方出什么角色自己都出执事
工作后,天才少女搭档经历,1,与冷漠的理科天才少女搭档，主要出国产二游角色
工作后,现任 CP 经历,1,与现任 CP 持续搭档至今，对方 ID 也是重巡洋舰
工作后,职场观察,1,作者发现老板对摸鱼员工宽容，却打算解雇主动承担更多工作的努力员工
工作后,心理状态延续,1,离开校园多年仍保留寒暑假概念并憧憬夏季活动
工作后,日常行为模式,1,每周去学校接女孩子放学并长期在学校周边活动
工作后,社交圈层特征,1,因女伴被视作孩子而常与同龄人长辈化、自己坐小孩桌
工作后,生活重心偏移,1,比起工作更头疼作业，需帮伴侣抄写未完成作业
工作后,季节性焦虑,1,春节后担忧寒假作业来不及而非上班
工作后,外界身份误判,1,与高中女生牵手买冰淇淋被误认为情侣而非父女
工作后,性格特质保留,1,与伴侣相处时仍流露初中时期爱恶作剧的性格
工作后,亲子互动模式,1,面对母亲批评时撒娇蹭人并被母亲笑着推开
工作后,跨龄社交能力,1,能与小学生打成一片并互相交换礼物
工作后,担任私人管家,1,受雇照顾一名富家少女，负责接送、跑腿及生活协助
